"","cell","capture","obstime","cell.type"
"1","1C 1","1C",0,NA
"2","1C 2","1C",0,NA
"3","1C 3","1C",0,NA
"4","1C 4","1C",0,NA
"5","1C 5","1C",0,NA
"6","1C 6","1C",0,NA
"7","1C 7","1C",0,NA
"8","1C 8","1C",0,NA
"9","1C 9","1C",0,NA
"10","2C 1.1","2C",1,NA
"11","2C 1.2","2C",1,NA
"12","2C 2.1","2C",1,NA
"13","2C 2.2","2C",1,NA
"14","2C 3.1","2C",1,NA
"15","2C 3.2","2C",1,NA
"16","2C 4.1","2C",1,NA
"17","2C 5.1","2C",1,NA
"18","2C 5.2","2C",1,NA
"19","2C 6.1","2C",1,NA
"20","2C 6.2","2C",1,NA
"21","2C 7.1","2C",1,NA
"22","2C 7.2","2C",1,NA
"23","2C 8.1","2C",1,NA
"24","2C 8.2","2C",1,NA
"25","2C 9.1","2C",1,NA
"26","2C 9.2","2C",1,NA
"27","2C 10.1","2C",1,NA
"28","2C 10.2","2C",1,NA
"29","4C 1.1","4C",2,NA
"30","4C 1.2","4C",2,NA
"31","4C 1.3","4C",2,NA
"32","4C 1.4","4C",2,NA
"33","4C 2.1","4C",2,NA
"34","4C 2.2","4C",2,NA
"35","4C 2.3","4C",2,NA
"36","4C 3.1","4C",2,NA
"37","4C 3.2","4C",2,NA
"38","4C 3.3","4C",2,NA
"39","4C 3.4","4C",2,NA
"40","4C 4.1","4C",2,NA
"41","4C 4.2","4C",2,NA
"42","4C 4.3","4C",2,NA
"43","4C 4.4","4C",2,NA
"44","4C 5.1","4C",2,NA
"45","4C 5.2","4C",2,NA
"46","4C 5.3","4C",2,NA
"47","4C 5.4","4C",2,NA
"48","4C 6.1","4C",2,NA
"49","4C 6.2","4C",2,NA
"50","4C 6.3","4C",2,NA
"51","4C 6.4","4C",2,NA
"52","8C 1.1","8C",3,NA
"53","8C 1.2","8C",3,NA
"54","8C 1.3","8C",3,NA
"55","8C 1.4","8C",3,NA
"56","8C 1.5","8C",3,NA
"57","8C 2.1","8C",3,NA
"58","8C 2.2","8C",3,NA
"59","8C 2.3","8C",3,NA
"60","8C 2.4","8C",3,NA
"61","8C 2.5","8C",3,NA
"62","8C 2.6","8C",3,NA
"63","8C 2.7","8C",3,NA
"64","8C 2.8","8C",3,NA
"65","8C 3.1","8C",3,NA
"66","8C 3.2","8C",3,NA
"67","8C 3.3","8C",3,NA
"68","8C 3.4","8C",3,NA
"69","8C 3.5","8C",3,NA
"70","8C 3.6","8C",3,NA
"71","8C 3.7","8C",3,NA
"72","8C 3.8","8C",3,NA
"73","8C 4.1","8C",3,NA
"74","8C 4.2","8C",3,NA
"75","8C 4.3","8C",3,NA
"76","8C 4.4","8C",3,NA
"77","8C 4.5","8C",3,NA
"78","8C 4.6","8C",3,NA
"79","8C 4.7","8C",3,NA
"80","8C 5.1","8C",3,NA
"81","8C 5.2","8C",3,NA
"82","8C 5.3","8C",3,NA
"83","8C 5.4","8C",3,NA
"84","8C 5.5","8C",3,NA
"85","8C 5.6","8C",3,NA
"86","8C 5.7","8C",3,NA
"87","8C 5.8","8C",3,NA
"88","8C 6.1","8C",3,NA
"89","8C 6.2","8C",3,NA
"90","8C 6.3","8C",3,NA
"91","8C 6.4","8C",3,NA
"92","8C 6.5","8C",3,NA
"93","8C 6.6","8C",3,NA
"94","8C 6.7","8C",3,NA
"95","8C 6.8","8C",3,NA
"96","16C 1.1","16C",4,NA
"97","16C 1.2","16C",4,NA
"98","16C 1.3","16C",4,NA
"99","16C 1.4","16C",4,NA
"100","16C 1.5","16C",4,NA
"101","16C 1.6","16C",4,NA
"102","16C 1.7","16C",4,NA
"103","16C 1.8","16C",4,NA
"104","16C 1.9","16C",4,NA
"105","16C 1.10","16C",4,NA
"106","16C 1.11","16C",4,NA
"107","16C 1.12","16C",4,NA
"108","16C 1.13","16C",4,NA
"109","16C 1.14","16C",4,NA
"110","16C 1.15","16C",4,NA
"111","16C 1.16","16C",4,NA
"112","16C 2.1","16C",4,NA
