"","gene"
"1","Actb"
"2","Ahcy"
"3","Aqp3"
"4","Atp12a"
"5","Bmp4"
"6","Cdx2"
"7","Creb312"
"8","Cebpa"
"9","Dab2"
"10","DppaI"
"11","Eomes"
"12","Esrrb"
"13","Fgf4"
"14","Fgfr2"
"15","Fn1"
"16","Gapdh"
"17","Gata3"
"18","Gata4"
"19","Gata6"
"20","Grhl1"
"21","Grhl2"
"22","Hand1"
"23","Hnf4a"
"24","Id2"
"25","Klf2"
"26","Klf4"
"27","Klf5"
"28","Krt8"
"29","Lcp1"
"30","Mbnl3"
"31","Msc"
"32","Msx2"
"33","Nanog"
"34","Pdgfa"
"35","Pdgfra"
"36","Pecam1"
"37","Pou5f1"
"38","Runx1"
"39","Sox2"
"40","Sall4"
"41","Sox17"
"42","Snail"
"43","Sox13"
"44","Tcfap2a"
"45","Tcfap2c"
"46","Tcf23"
"47","Utf1"
"48","Tspan8"
