"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563","GSM734564","GSM734565","GSM734566","GSM734567","GSM734568","GSM734569","GSM734570","GSM734571","GSM734572","GSM734573","GSM734574","GSM734575","GSM734576","GSM734577","GSM734578","GSM734579","GSM734580","GSM734581","GSM734582","GSM734583","GSM734584","GSM734585","GSM734586","GSM734587"
"CATMA1a00350",9.710897182,9.832589512,9.884594977,9.945774681,9.877853101,10.2024633,9.840158667,10.08884718,9.810454829,9.180297668,8.563987414,8.699412896,8.17787222,8.147021191,8.613554801,8.587857813,8.178450681,8.765038918,8.260152065,9.061737572,7.980802935,8.604973696,8.613994629,7.878298533,9.719310266,10.31638907,10.00642272,10.16817514,10.31339069,10.47957747,10.04784274,10.58666816,10.23542321,10.20380306,9.517066269,9.432325795,9.91836229,9.569570684,10.11793143,10.06695265,10.02132482,10.37754246,9.791147186,10.41125143,10.19870494,10.01874952,10.03490731,9.88439715
"CATMA1a00725",12.08829663,12.45256863,12.8080974,12.90571954,12.74929398,12.90297254,12.97629051,12.69403589,13.25955772,12.80145313,13.54988739,12.97714192,13.89385453,14.73708072,14.62332761,14.66936134,14.80702938,13.8308117,14.22007014,14.15101582,13.67340625,13.85283398,13.41582181,13.55656859,11.88402391,11.75851618,12.54743093,12.46242093,12.93532017,12.05132155,12.06883326,12.73039299,12.81932541,11.92732892,12.15779453,12.12714101,12.46406885,12.72195305,12.43650104,12.67051105,12.38351686,12.08456318,12.54423997,12.71111969,12.80384332,12.61303971,12.2774743,12.11531633
"CATMA1a00790",6.852163608,6.556422557,5.563840619,5.361027679,5.634317118,7.145823518,5.293818662,6.482772773,6.372674088,5.784951387,5.45717468,6.923722664,5.975970906,6.552420957,6.408499013,5.75183188,6.424627818,6.931872338,5.291560822,6.161164545,6.177830386,6.846154179,6.833599818,6.340552321,5.367093162,5.136072984,5.973626783,5.126827503,5.953937509,4.67603128,6.13083123,6.739981147,5.852235698,4.906744323,6.558209838,5.870646513,5.9283111,6.917519214,5.716545981,6.410615233,6.574702184,6.308653785,6.397053808,6.673807669,4.963004919,5.639636745,5.738830229,5.041593512
"CATMA1a02710",9.362606881,9.646484932,8.855507659,8.812352032,8.742347925,9.077515471,9.166194662,9.859782224,9.956077417,9.171174919,10.66472372,11.39778425,11.97526585,12.40335985,11.99235741,12.45413799,12.54174739,11.72692974,12.51735157,12.25779929,11.77619586,11.9633624,12.24837949,12.46134286,9.486260069,8.462781539,9.168630978,8.697674946,9.005901505,9.143116382,8.957207387,9.049040427,9.404983507,8.738542743,9.727884527,9.099041323,9.537986328,9.266850192,9.053680687,8.886858453,9.312501476,9.417783783,10.18712381,9.768929681,9.97047024,9.063829398,9.036554018,9.740411964
"CATMA1a05095",7.895252993,8.104989983,7.441709832,7.813740897,7.869875115,7.599805598,7.838487268,7.913709514,7.438729916,7.879662788,7.859483206,8.679365766,8.014735014,8.383140548,7.882209708,7.89339747,8.260202359,8.112756067,7.736282753,8.286980938,8.432765633,8.209931992,8.26241888,8.718876538,8.069341114,8.073948289,7.84388573,8.049991954,8.497439345,7.844707581,8.212251776,7.832551238,8.002748996,7.954147496,7.937299238,8.506363068,8.260209041,7.585040741,7.99998146,7.979035013,8.282804511,8.069738055,8.14788378,7.997745344,8.299932714,8.232949141,8.108523526,8.110180041
"CATMA1a05200",7.392269675,8.860618574,8.407620185,7.558526323,8.403316498,8.316227443,9.027104143,8.624349254,9.81305363,9.064421352,10.68415751,10.44064701,11.86575988,11.69380624,11.36608955,11.36136656,11.05693992,11.22802691,11.22617937,10.89781807,10.18256532,9.980421647,10.93072476,10.62073062,7.730345693,7.824227104,8.707693431,7.657933764,7.530161364,8.395526161,8.302759436,8.489673508,8.742022362,7.366365794,8.999839584,9.546157565,9.655339657,10.39412291,9.401901975,9.810002434,9.374018592,10.36933626,9.623311928,9.480614323,9.069073282,9.613203614,8.642331431,9.351830691
"CATMA1a05220",7.502496154,7.600797117,8.006628179,8.312832642,7.971205197,7.924247,8.07233649,8.143383016,8.287564727,8.523113296,8.948410693,9.015378819,9.992354903,10.40767351,10.47595809,10.27849291,10.22192374,9.804745233,10.1813603,9.627718844,9.342102481,9.792316038,9.469273851,9.253248476,7.474439319,7.855961612,7.742957374,7.941092768,8.05682761,7.970021982,8.025904112,8.017939068,7.973772284,7.931831615,8.493619398,8.681156667,9.157424855,9.51235217,9.008391474,9.156628334,9.287957629,9.312652463,9.291977642,9.163114598,9.055025776,9.332207338,8.751493775,9.233085186
"CATMA1a06705",11.93316048,12.13681879,11.82990469,12.04505063,11.50660754,11.86736866,11.75408379,11.39650995,11.06190715,11.44199724,11.75538678,11.62893478,11.31038518,11.7841029,11.67413713,12.17438074,12.10884843,11.88465052,12.2354511,12.15878906,11.64659082,11.50528788,11.74647693,11.98984312,11.94760399,11.87176367,11.69334317,11.40632363,11.63551752,11.73688578,11.57970304,11.1819647,11.11993621,11.4048943,10.73168365,11.6568312,11.41883617,11.63969956,12.0189528,11.9277189,11.84036331,11.62341027,11.93209279,11.85619082,11.26281822,11.48686558,11.56359269,11.77886639
"CATMA1a07860",10.2311833,9.634144302,10.08745081,10.0666866,10.17424021,10.59343471,9.914212327,9.660611667,10.11387515,9.708034429,9.198649071,8.858668743,8.558691669,8.273770635,8.026045276,8.247058585,8.249333469,8.57015323,8.167412238,8.432747381,8.043006802,8.398552331,8.484604653,8.285311792,9.879066095,10.58317851,10.60711523,10.7288549,10.00168362,10.45983501,10.59268976,10.81009753,10.44532843,10.66362419,10.0029106,9.34955046,9.267816522,9.376130931,9.773550425,9.652227449,9.684160974,9.730557595,9.859282134,9.535786897,9.455080799,9.942100251,9.617411882,9.329253128
"CATMA1a08395",11.44006468,11.28355844,11.338045,11.23705437,11.03059768,11.1125062,11.39882421,11.62215976,11.48877051,11.68397031,11.65145377,11.44209452,10.55456333,10.85750072,11.21663786,11.59632988,11.56858638,11.67609471,11.72511708,11.34935329,10.99851084,11.32778138,10.81078938,10.76936751,11.66228399,11.45986437,11.46292681,11.23492712,11.76998071,11.06722562,11.15026385,11.17036859,11.57672571,11.40679501,11.96170487,12.11939477,12.32979197,11.60072563,12.05776883,12.11071962,12.34091417,11.75003954,12.05007158,12.10713051,11.91069028,11.56364038,12.18858975,11.84867782
